state,year,events
Australian Capital Territory,2009,0
Australian Capital Territory,2010,0
Australian Capital Territory,2011,0
Australian Capital Territory,2012,0
Australian Capital Territory,2013,0
Australian Capital Territory,2014,0
Australian Capital Territory,2015,0
Australian Capital Territory,2016,0
Australian Capital Territory,2017,0
Australian Capital Territory,2018,1
Australian Capital Territory,2019,1
Australian Capital Territory,2020,0
Australian Capital Territory,2021,0
Australian Capital Territory,2022,0
Australian Capital Territory,2023,0
Australian Capital Territory,2024,0
Australian Capital Territory,2025,0
Australian Capital Territory,2026,0
New South Wales,2009,0
New South Wales,2010,0
New South Wales,2011,2
New South Wales,2012,22
New South Wales,2013,10
New South Wales,2014,10
New South Wales,2015,4
New South Wales,2016,6
New South Wales,2017,15
New South Wales,2018,22
New South Wales,2019,10
New South Wales,2020,0
New South Wales,2021,0
New South Wales,2022,0
New South Wales,2023,33
New South Wales,2024,8
New South Wales,2025,22
New South Wales,2026,4
Northern Territory,2009,0
Northern Territory,2010,0
Northern Territory,2011,1
Northern Territory,2012,0
Northern Territory,2013,0
Northern Territory,2014,0
Northern Territory,2015,0
Northern Territory,2016,0
Northern Territory,2017,0
Northern Territory,2018,0
Northern Territory,2019,0
Northern Territory,2020,1
Northern Territory,2021,0
Northern Territory,2022,0
Northern Territory,2023,1
Northern Territory,2024,0
Northern Territory,2025,0
Northern Territory,2026,0
Queensland,2009,0
Queensland,2010,0
Queensland,2011,1
Queensland,2012,2
Queensland,2013,1
Queensland,2014,0
Queensland,2015,0
Queensland,2016,0
Queensland,2017,0
Queensland,2018,4
Queensland,2019,2
Queensland,2020,3
Queensland,2021,0
Queensland,2022,0
Queensland,2023,6
Queensland,2024,6
Queensland,2025,7
Queensland,2026,0
South Australia,2009,0
South Australia,2010,0
South Australia,2011,0
South Australia,2012,2
South Australia,2013,2
South Australia,2014,1
South Australia,2015,2
South Australia,2016,0
South Australia,2017,0
South Australia,2018,0
South Australia,2019,1
South Australia,2020,0
South Australia,2021,0
South Australia,2022,0
South Australia,2023,0
South Australia,2024,0
South Australia,2025,0
South Australia,2026,0
Tasmania,2009,0
Tasmania,2010,0
Tasmania,2011,0
Tasmania,2012,0
Tasmania,2013,2
Tasmania,2014,0
Tasmania,2015,0
Tasmania,2016,1
Tasmania,2017,1
Tasmania,2018,1
Tasmania,2019,1
Tasmania,2020,0
Tasmania,2021,0
Tasmania,2022,0
Tasmania,2023,0
Tasmania,2024,0
Tasmania,2025,3
Tasmania,2026,0
Victoria,2009,1
Victoria,2010,0
Victoria,2011,0
Victoria,2012,2
Victoria,2013,5
Victoria,2014,3
Victoria,2015,3
Victoria,2016,2
Victoria,2017,0
Victoria,2018,0
Victoria,2019,5
Victoria,2020,0
Victoria,2021,0
Victoria,2022,0
Victoria,2023,1
Victoria,2024,2
Victoria,2025,2
Victoria,2026,1
Western Australia,2009,1
Western Australia,2010,0
Western Australia,2011,2
Western Australia,2012,0
Western Australia,2013,2
Western Australia,2014,1
Western Australia,2015,2
Western Australia,2016,1
Western Australia,2017,0
Western Australia,2018,0
Western Australia,2019,1
Western Australia,2020,0
Western Australia,2021,1
Western Australia,2022,2
Western Australia,2023,1
Western Australia,2024,0
Western Australia,2025,0
Western Australia,2026,0
